Snippet,CWE,Target
"
{
 sbyte var_KKL32E;
 var_KKL32E = 0;
 try 
{
 string var_0SX379 = var_HJ1GVI.var_LQHCH9();
 if (var_0SX379 != null) 
{
 var_KKL32E = sbyte.var_CWU7K4(var_0SX379.var_H4CXWS());
 }
 }
 catch (var_Q0C6V7 var_RAO026) 
{
 var_RJGVCH.var_ZB3RBI.var_JCPEPR(var_QPQY10.var_PWY2PK.var_UKY9FE, ""Error with stream reading"", var_RAO026);
 }
 catch (var_6PX4SI var_WG7JZQ) 
{
 var_RJGVCH.var_ZB3RBI.var_JCPEPR(var_QPQY10.var_PWY2PK.var_UKY9FE, ""Error with number parsing"", var_WG7JZQ);
 }
 var_SM1M79<int,sbyte> var_GTFNAV = new var_SM1M79<int,sbyte>();
 var_GTFNAV.var_H5AR0E(0, var_KKL32E);
 var_GTFNAV.var_H5AR0E(1, var_KKL32E);
 var_GTFNAV.var_H5AR0E(2, var_KKL32E);
 var_MKQG55.var_FX7M96(var_GTFNAV  );
 }
",CWE190,1
"
{
 int var_KX1LMS;
 if (var_D1SB4F.var_FYZIOA) 
{
 var_KX1LMS = int.var_1HIW9S;
 
{
 try 
{
 using (var_DWB7J3 var_C6E4KP = var_D1SB4F.var_F0LQAU()) 
{
 var_C6E4KP.var_J62NA2();
 using (var_CAEAQM var_EDCYRF = new var_CAEAQM(null, var_C6E4KP)) 
{
 var_EDCYRF.var_7I1S9R = ""select name from users where id=0"";
 var_EDCYRF.var_RSCX28();
 using (var_VKKYFL var_ZKS1E8 = var_EDCYRF.var_UEFJOR()) 
{
 string var_267879 = var_ZKS1E8.var_MZGMTY(1);
 if (var_267879 != null) 
{
 try 
{
 var_KX1LMS = int.var_G3PR1P(var_267879.var_YTNL5F());
 }
 catch (var_95GMPY var_23PVCA) 
{
 var_D1SB4F.var_C1JRBM.var_8U6JZT(var_MH1DMS.var_SHX3DY.var_QNMKYG, var_23PVCA, ""Number format exception parsing data from string"");
 }
 }
 }
 }
 }
 }
 catch (var_T6E9W9 var_4S5TRB) 
{
 var_D1SB4F.var_C1JRBM.var_8U6JZT(var_MH1DMS.var_SHX3DY.var_QNMKYG, var_4S5TRB, ""Error with SQL statement"");
 }
 }
 }
 else 
{
 var_KX1LMS = 0;
 }
 if (var_D1SB4F.var_FYZIOA) 
{
 if(var_KX1LMS < 0) 
{
 int var_MBM9ZZ = (int)(var_KX1LMS * 2);
 var_D1SB4F.var_VFQ32J(""result: "" + var_MBM9ZZ);
 }
 }
 }
",CWE191,1
"
{
 int var_KBHZYA;
 if (var_PAXUPH.var_BHRPGF==5) 
{
 var_KBHZYA = int.var_RWC1U2;
 
{
 try 
{
 var_KCQ3XH var_9UTK1Q = """";
 using (var_YCAWT0 var_OXEZNN = new var_YCAWT0(""host.example.org"", 39544)) 
{
 using (var_5ZC9XA var_AS733N = new var_5ZC9XA(var_OXEZNN.var_7X75AQ())) 
{
 var_9UTK1Q = var_AS733N.var_QP12MG();
 }
 }
 if (var_9UTK1Q != null) 
{
 try 
{
 var_KBHZYA = int.var_Y2CIME(var_9UTK1Q.var_OKOFWS());
 }
 catch(var_32BDQH var_UTCWZ7) 
{
 var_PAXUPH.var_LKTCR5.var_CH03B3(var_1VO8V0.var_G983WB.var_W15IV3, var_UTCWZ7, ""Number format exception parsing data from string"");
 }
 }
 }
 catch (var_OKWCHB var_9PNUYH) 
{
 var_PAXUPH.var_LKTCR5.var_CH03B3(var_1VO8V0.var_G983WB.var_W15IV3, var_9PNUYH, ""Error with stream reading"");
 }
 }
 }
 else 
{
 var_KBHZYA = 0;
 }
 if (var_PAXUPH.var_BHRPGF==5) 
{
 int[] var_O9NT3E = 
{
 0, 1, 2, 3, 4 }
;
 var_O9NT3E[var_KBHZYA] = 42;
 }
 }
",CWE129,1
"
{
 sbyte var_OV17QL;
 if (var_PQY8FF) 
{
 var_OV17QL = sbyte.var_TKPHOQ;
 }
 else 
{
 var_OV17QL = 0;
 }
 if (var_PQY8FF) 
{
 sbyte var_06OBC5 = (sbyte)(var_OV17QL + 1);
 var_IRS0F9.var_SJF1IK(""result: "" + var_06OBC5);
 }
 }
",CWE190,1
"string var_CA3V00 = null;
 string var_RRYNJC = null;
 var_CA3V00 = var_FI6K7S.var_S6BL8D();
 var_RRYNJC = var_CA3V00;
 if((1==1))
{
 
{
}
 }
else
{
 string var_F1EBKD = new string(var_QF62JA.var_ZRCNCK()) + new string(var_QF62JA.var_VAYD4N()) + "";
"";
 var_RL7R12 var_F083QQ = new var_RL7R12(string.var_I3FFGU(""[
{
0}
]"", var_RL7R12.var_Y3RVZN(var_F1EBKD)));
 var_RRYNJC = var_F083QQ.var_LEBOA9(var_CA3V00, """");
 }
 string var_W7MKG9 = var_RRYNJC;
 string var_EQSPVB = ""file.xml"";
 var_JW7D0Y var_3PEMQY = var_JW7D0Y.var_NQVTFC(var_EQSPVB);
 var_LU9CN9 var_RZ2JNK = new var_LU9CN9(var_FI6K7S.var_ZEX7E0);
 var_RZ2JNK.var_GXM8JP = var_GXM8JP.var_LQXX07;
 var var_U9F0P2 = var_3PEMQY.var_V2MRD1.var_0S3JBG(""foo"") .var_FJF59V(var_1ICZWO => (string) var_1ICZWO.var_MTT2O1(""bar"") == var_W7MKG9) .var_N8V936();
 var_U9F0P2.var_MDJ6UK(var_RZ2JNK);
 var_RZ2JNK.var_39GFIC( );
 }
 }
 }
",cwe_91,1
"
{
 long var_23KPLX;
 if (var_8S7X7C.var_Q44WO0 == 5) 
{
 var_23KPLX = long.var_X45JEL;
 
{
 try 
{
 string var_AMQI7M = var_6GMIR2.var_2XT8IF();
 if (var_AMQI7M != null) 
{
 try 
{
 var_23KPLX = long.var_D0V1SD(var_AMQI7M.var_ZG5TJL());
 }
 catch(var_57ND4K var_D6QCGP) 
{
 var_8S7X7C.var_1DF25M.var_LAO77Y(var_KY09DI.var_3ZDZ55.var_YSCX55, var_D6QCGP, ""Number format exception parsing data from string"");
 }
 }
 }
 catch (var_73Y1HM var_ZJG92U) 
{
 var_8S7X7C.var_1DF25M.var_LAO77Y(var_KY09DI.var_3ZDZ55.var_YSCX55, var_ZJG92U, ""Error with stream reading"");
 }
 }
 }
 else 
{
 var_23KPLX = 0L;
 }
 
{
 var_8S7X7C.var_L3E3OH((byte)var_23KPLX);
 }
 }
",CWE197,1
"string var_YIW7R7 = null;
 string var_DQRYLV = null;
 string var_E8AYH6 = null;
 var_2UQXQ4 var_HENJJV = new var_2UQXQ4();
 var_HENJJV.var_1EVTRH.var_2KQJ32 = ""/bin/bash"";
 var_HENJJV.var_1EVTRH.var_RG7SUC = ""-c 'cat /tmp/tainted.txt'"";
 var_HENJJV.var_1EVTRH.var_Q9W3JO = false;
 var_HENJJV.var_1EVTRH.var_3KTZIL = true;
 var_HENJJV.var_0OCZOI();
 using(var_F1JDD1 var_TQJ0R2 = var_HENJJV.var_9UBVV0) 
{
 var_E8AYH6 = var_TQJ0R2.var_TWR2P2();
 var_HENJJV.var_M33U4M();
 var_HENJJV.var_DD9AXM();
 }
 var_DQRYLV = var_E8AYH6;
 var_WVIJKW var_VY9HUX = new var_WVIJKW(var_E8AYH6);
 var_YIW7R7 = var_VY9HUX.var_U0I8MA();
 var_DQRYLV = var_YIW7R7;
 string var_FKEHYA = ""SELECT * FROM '"" + var_DQRYLV + ""'"";
 string var_LZN2J0 = ""Server=localhost;
port=1337;
User Id=postgre_user;
Password=postgre_password;
Database=dbname"";
 var_P9LBV9 var_U1S5SE = null;
 try
{
 var_U1S5SE = new var_P9LBV9(var_LZN2J0);
 var_U1S5SE.var_KQJ5IN();
 var_IRR8I2 var_5BUM1L = new var_IRR8I2(var_FKEHYA, var_U1S5SE);
 var_YA7PD6 var_8DGXHL = var_5BUM1L.var_EZ2HIM();
 while (var_8DGXHL.var_UB56P2())
{
 var_Q4WJDR.var_2Z4QFX(""
{
0}
\n"", var_8DGXHL[0]);
 }
 var_U1S5SE.var_DD9AXM();
 }
catch (var_PQXOAL var_3GJQKB)
{
 var_Q4WJDR.var_ZNAXDR(var_3GJQKB.var_IYJMTV());
 }
 }
 }
 }
",cwe_89,1
"string var_FFUJTF = null;
 string var_YUKQQ4 = null;
 var_FFUJTF = var_B2B0RB.var_LKWL42();
 var_YUKQQ4 = var_FFUJTF;
 if((4+2>=42))
{
 string var_3N9NWS = new string(var_A5TDQX.var_M0E74J()) + new string(var_A5TDQX.var_QBPMLL()) + "";
"";
 var_MKA463 var_BCE7LH = new var_MKA463(string.var_0WRDSX(""[
{
0}
]"", var_MKA463.var_MIQ19J(var_3N9NWS)));
 var_YUKQQ4 = var_BCE7LH.var_A6BTT9(var_FFUJTF, """");
 }
else if(!(4+2>=42))
{
 
{
}
 }
else
{
 
{
}
 }
 string var_A2T6PZ = var_YUKQQ4;
 string var_6S4TVK = ""file.xml"";
 var_7OMWMH var_BVEVQ5 = var_7OMWMH.var_MJL93E(var_6S4TVK);
 var_DV3XU6 var_9U8F92 = new var_DV3XU6(var_B2B0RB.var_D22I3R);
 var_9U8F92.var_GCEN38 = var_GCEN38.var_AC3M4K;
 var var_75XLXV = var_BVEVQ5.var_CJ9P6N.var_75B2HG(""foo"") .var_U8EQCI(var_6J6L3N => (string) var_6J6L3N.var_STKWK7(""bar"") == var_A2T6PZ) .var_F1C2FA();
 var_75XLXV.var_A8DXTR(var_9U8F92);
 var_9U8F92.var_ZBN3WY( );
 }
 }
 }
",cwe_91,1
"string var_ST4Z36 = null;
 string var_RO2Y1Z = null;
 var_ST4Z36 = var_6X419D[1];
 var_RO2Y1Z = var_ST4Z36;
 if((1==0))
{
 
{
}
 }
else if(!(1==0))
{
 string var_H6ZJE6 = new string(var_L8NZXX.var_6FYDQP()) + new string(var_L8NZXX.var_LPJ79U()) + "";
"";
 var_ISDUA0 var_P7VPJ8 = new var_ISDUA0(string.var_FJPYVI(""[
{
0}
]"", var_ISDUA0.var_RK9DOY(var_H6ZJE6)));
 var_RO2Y1Z = var_P7VPJ8.var_KMVY9H(var_ST4Z36, """");
 }
 string var_LPI723 = ""SELECT * FROM '"" + var_RO2Y1Z + ""'"";
 string var_Z6CQTH = ""Data Source=localhost;
User ID=oracle_user;
Password=oracle_password"";
 var_MM7Q9U var_YR33SY = null;
 try
{
 var_YR33SY = new var_MM7Q9U(var_Z6CQTH);
 var_YR33SY.var_D0SO0J();
 var_VC7CEA var_0ZLCJE = var_YR33SY.var_RW5W88();
 var_0ZLCJE.var_HAVE01 = var_LPI723;
 var_X8MIJM var_RLXE06 = var_0ZLCJE.var_415A5W();
 while (var_RLXE06.var_Y7ECG1())
{
 var_5OGUSH.var_04RQA6(var_RLXE06.var_SMHY5P());
 }
 var_YR33SY.var_OR5W7H();
 }
catch(var_N1LANB var_HKRBC9)
{
 var_5OGUSH.var_04RQA6(var_HKRBC9.var_SMHY5P());
 }
 }
 }
 }
",cwe_89,1
"
{
 int var_A6XWNE;
 var_A6XWNE = int.var_BFYO0L;
 
{
 if (var_TFX0HP.var_7XBCKD[""id""] != null) 
{
 try 
{
 var_A6XWNE = int.var_ELPU29(var_TFX0HP.var_7XBCKD[""id""]);
 }
 catch (var_NQKTN3 var_GU6G3E) 
{
 var_H0JG45.var_PLUGJ3.var_41IOW8(var_Y21G3P.var_FGKCX3.var_35BH55, var_GU6G3E, ""Number format exception reading id from query string"");
 }
 }
 }
 var_Z6RFY2.var_GYXTWL(var_A6XWNE , var_TFX0HP, var_PPUE90);
 }
",CWE191,1
